entry,section,pdf_page,field,line_start,issue,content
abu,Lithuanian,57,SL,705,contains_non_ascii,"OCS oba, f. obe, n. obė; Ru. oba, f. obe, n. oba; Cz. oba, f. obė, n. obė; Pl. oba, f. obie, n. oba; SCr. oba, f. obje, n. oba; Sln. oba, f. obę, n. obę"
abu,Lithuanian,57,IE,707,contains_non_ascii;mojibake_candidate;unusual_symbol_for_manual_check,Skt. ubha- 'both'; Gk. aµ<j>w 'both'; Go. bai 'both'
adyti,Lithuanian,57,LITH,721,contains_non_ascii,"adyti 'darn', 3 pres. ado, 3 pret. adė"
aguona,Lithuanian,57,LITH,729,contains_non_ascii,aguona 2 'poppy'; VAR maguonė 1; maguona; magūna
aguona,Lithuanian,57,LATV,731,contains_non_ascii,"maguone 'poppy'; VAR magitona2 [uo, uo2]; magana; magane; magūne"
aguona,Lithuanian,58,IE,740,contains_non_ascii;control_or_replacement_char;mojibake_candidate,"Gk. µKwv f.; Dor. µ&Kwv f.; OHG maho m. (following Kroonen (2011a: 311-314), I have abandoned the macron on the root vowel of this form, as written by Pokorny (IEW: 698) and others); mago m.; OS magosiimo m. 'poppyseed'; OSw. valmoghe m. (the first element means 'sleep', cf. Nw. vale ( dial.) 'deep sleep', Sw. valbjorn ( dial.) 'Schlafdorn') (Est. magun and Liv. maggon are borrowings from Baltic, probably Latvian)"
aigyti,Lithuanian,58,LITH,746,contains_non_ascii,"aigyti (NE dial.) 'prick, sting, incite, beat', 3 pres. aigo, 3 pret. aigė; VAR aigyti, 3 pres. aigija, 3 pret. aigijo"
aikštė,Lithuanian,58,LITH,752,contains_non_ascii,"aikštl 3 [1/3/ 4] 'dearing, square, ground'"
aikštis l,Lithuanian,59,LITH,760,contains_non_ascii,"aikštis f.(i) 1 [1/3/4] 'whim, (Zem.) desire, passion, rage'; VAR aikšte (Zem.) 3 [1/3] 'rage'"
aikštis 11,Lithuanian,59,LITH,766,contains_non_ascii,"aikštis f. (DP, Smn.) 4 'fine weather, drought, heat'"
ailis,Lithuanian,59,LITH,772,contains_non_ascii,"ailis l 'club, stiek, spindle for spreading fishing-nets, stiek to whieh a net is attaehed'; VAR ailė"
aiškus,Lithuanian,59,LITH,786,contains_non_ascii,aiškus 3 [1/3] 'clear'; VAR eiškus l
aiškus,Lithuanian,59,BSL,788,contains_non_ascii,*ai(Ƿk-( n)-
aiža,Lithuanian,60,LITH,802,contains_non_ascii,"aiža ( dial.) l [l/ 4] 'crack, chink, splinter'"
aiža,Lithuanian,60,BSL,808,contains_non_ascii,*oi?žwa?
aižyti,Lithuanian,60,LITH,820,contains_non_ascii,"aižyti [ai, ai] 'pod, shell', 3 pres. aižo, 3 pret. aižė"
akėčios,Lithuanian,60,LITH,836,contains_non_ascii,aki!čios Npl. l [1/3] 'harrow'; VAR eki!čios Npl. 1/3
akėčios,Lithuanian,60,LATV,838,contains_non_ascii,"ecešas Npl. (e, e2] 'harrow'; VAR ecekšas Npl. [e, e2]"
akėčios,Lithuanian,60,IE,850,contains_non_ascii,"Gk. 6Ęlva (Hes.) f. 'an agricultural implement with iron teeth, drawn by oxen'; Lat. occa f. 'harrow'; OW ocet f. 'harrow'; OHG egida f. 'harrow'; OE eg(e)pe f. 'harrow' (cf. Fi. iies 'harrow')"
akėti,Lithuanian,61,LATV,862,possible_ocr_digit_letter_year_or_symbol,"ecet 'harrow', isg. pres. eceju, isg. pret. eceju"
akis,Lithuanian,61,SL,878,contains_non_ascii,"OCS oko n.(s), Gsg. očese, Ndu. oči; Ru. 6ko (arch., poet.), Npl. 6či; Cz. oko, Npl. oči; Pl. oko, Npl. oczy; SCr. oko, Npl. oči; Sln. ok(i, Npl. očf"
akis,Lithuanian,61,IE,882,broken_reconstruction_spacing,Skt. tik?i- n. 'eye'; Gk. oooe NAdu. n. 'eyes'; Lat. oculus m. 'eye'
akmuo,Lithuanian,61,LATV,890,unusual_symbol_for_manual_check,"akmens m.(n) 'stone', Gsg. akmens, akmel'}a; VAR akmins, Gsg. akmins, akmil'}a"
akmuo,Lithuanian,61,IE,900,broken_reconstruction_spacing;contains_non_ascii;mojibake_candidate,"Skt. asman- m. 'stone, rock'; Gk. liKµwv m. 'anvil, meteor, heaven'"
akstinas,Lithuanian,62,BSL,914,contains_non_ascii,*akstinas (*aštinos?)
akstinas,Lithuanian,62,SL,918,contains_non_ascii,"OCS ostbnb 'sharp point'; Ru. osten (dial.) 'thorn, spike'; Cz. osten 'spike, quill'; Pl. ošcien 'harpoon, (areh.) fishbone'; SCr. ostan 'pointed stiek for driving eattle'; Sln. pstan 'spike, thorn'; Bulg. osten 'pointed stiek for driving eattle'"
aks tis,Lithuanian,62,LITH,924,contains_non_ascii,"akstis (Žem.) f.(i) 4 'spit, thorn, prick'; VAR akštis f.(i) 4"
aks tis,Lithuanian,62,BSL,928,contains_non_ascii,*aks tis (*aš tis?)
aks tis,Lithuanian,62,SL,932,contains_non_ascii,"Ru. ost' 'awn'; Cz. osf (dial.) 'awn'; Slk. osf 'fishbone, awn, thorn'; Pl. ošc 'fishbone, awn, thorn'; SCr. osti Npl. 'harpoon'; ostve Npl. 'harpoon'; Čak. osti (Vrg.) Npl. 'harpoon'; Sln. pst 'sharp point, fishbone, (pl.) harpoon', Gsg. ostf"
alga,Lithuanian,63,IE,961,broken_reconstruction_spacing;unusual_symbol_for_manual_check,"Skt. argha- m. 'worth, value, price'; Gk. <lAcM f. 'gain, profit'"
alkanas,Lithuanian,63,LITH,967,contains_non_ascii,alkanas 3• [1/3•] 'sober'
alkanas,Lithuanian,63,LATV,968,contains_non_ascii,"aikans 'hungry, avid, tasteless, flat'; VAR ęlkans (Mane.)"
alkanas,Lithuanian,63,BSL,971,contains_non_ascii;fused_field_label,*olrkino-PSL *Olčbn'b adj. o (a) 'hungry'
alkanas,Lithuanian,63,SL,972,contains_non_ascii,"OCS alcen'b (Supr.); CS alčbn'b (Christ.) 'hungry'; lačna (Freis.) Asg. m. 'one who is hungry'; Ru. alčnyj 'greedy, grasping, (obs.) hungry'; alošnoj (dial.) 'greedy'; alašnyj (dial.) 'greedy'; ORu. al('b)čbn'b 'hungry, greedy'; alčen'b 'hungry, greedy'; lačbn'b 'hungry, greedy'; Cz. lačny 'hungry, greedy'; Slk. lačny 'hungry, greedy'; OPI. laczny 'hungry, thirsty (for)'; SCr. liičan 'hungry'; Čak. liičan (Orb.) 'hungry'; Sln. lač;m 'hungry', f. lačna; Bulg. alčen 'greedy'"
alkas,Lithuanian,63,LITH,978,contains_non_ascii,"alkas 2 [2/4] '(holy) grove on a hill, idol' (Illič-Svityč (1963: 36) notes that the dialects show variation between AP 2 (E. Aukšt.) and AP 4 (NW. Žem.));"
alkas,Lithuanian,64,LATV,984,contains_non_ascii,"ęlks [ęl, ęž] 'idol' ( cf. ęlka dievs 'idol', ęlka kalns 'holy mountain where pagan rites are performed, temple hill')"
alksna,Lithuanian,64,LATV,993,contains_non_ascii,"alksna [ai, al2] 'alder thicket, swampy place'; VAR ęlksna (E. dial.); alksne; aluksna"
alksnis,Lithuanian,64,LATV,1005,contains_non_ascii,"alksnis [ai, aŽ2, al2] 'alder'; VAR e/ksnis [e[, ei, ež2, e/2] (the variant with ef (Aahof, see FBR 4: 43) appears to be isolated)"
alksnis,Lithuanian,64,PSL,1009,contains_non_ascii,*olbxa f. a; *elbxa f. a; *olbša f. ja; *elbša f. ja 'alder'
alksnis,Lithuanian,64,SL,1010,contains_non_ascii,"Ru. ol'xa; elxa ( dial.) 'alder, spruce'; elxa ( dial.) 'alder, spruce' (in Russian dialects there are apparently also forms with a vocalized medial jer, e.g. el6xa (Kostr.), alex (Voron.), olex (Rjaz.) 'alder', cf. Popowska-Taborska 1984: 39 ); Cz. olše; jelše ( dial.); Slk. jelcha ( dial.); Pl. olcha; olsza ( dial.); USrb. w6lša; SCr. jelha ( dial.); jelša; Sln. plša ( dial.); Sln. jęlša; Bulg. elha"
alksnis,Lithuanian,64,IE,1012,unusual_symbol_for_manual_check,Lat. alnus m. 'alder'; Span. aliso m.; OHG elira f.; erila f.; OE alor m.; Olc. plr m.; jplstr f.; Mac. CiAi<a 'white poplar'
