section,pdf_page,column,form,refs,entry,raw
ancient,804,1,ἄγαν,362,"ἄγαν, 362","äyav, 362"
ancient,804,1,ἀγείρω,312,"ἀγείρω, 312","ἀγείρω, 312"
ancient,804,1,ἄγκος,28,"ἄγκος, 28","ἄγκος, 28"
ancient,804,1,ἀγκύλη,29,"ἀγκύλη, 29","ἀγκύλη, 29"
ancient,804,1,ἀγκύλος,29,"ἀγκύλος, 29","ἀγκύλος, 29"
ancient,804,1,ἀγκών,28,"ἀγκών, 28","ἀγκών, 28"
ancient,804,1,ἄγνυμι,569,"ἄγνυμι, 569","ἄγνυμι, 569"
ancient,804,1,ἀγρός,18,"ἀγρός, 18","ἀγρός, 18"
ancient,804,1,ἄγχω,28,"ἄγχω, 28","ἄγχω, 28"
ancient,804,1,ἄγω,18,"ἄγω, 18","ἄγω, 18"
ancient,804,1,ἁδήν,"xxvii, 270","ἁδήν, xxvii, 270","ἁδήν, xxvii, 270"
ancient,804,1,ἀδίκη,384,"ἀδίκη, 384","ἀδίκη, 384"
ancient,804,1,ἀείρω,574,"ἀείρω, 574","ἀείρω, 574"
ancient,804,1,ἀέλιοι,498,"ἀέλιοι, 498","ἀέλιοι, 498"
ancient,804,1,ἀέλιος,"xxvi, 46","ἀέλιος, xxvi, 46","ἀέλιος, xxvi, 46"
ancient,804,1,ἀέξω,566,"ἀέξω, 566","ἀέξω, 566"
ancient,804,1,ἄζω,38,"ἄζω, 38","ἄζω, 38"
ancient,804,1,ἄημι,576,"ἄημι, 576","ἄημι, 576"
ancient,804,1,αἰγίλωψ,9,"αἰγίλωψ, 9","αἰγίλωι!, 9"
ancient,804,2,αἰγίς,10,"αἰγίς, 10","αἰγίς, 10"
ancient,804,2,αἴδομαι,14,"αἴδομαι, 14","αἴδομαι, 14"
ancient,804,2,αἰετός,590,"αἰετός, 590","αἰετός, 590"
ancient,804,2,αἰθός,8,"αἰθός, 8","αἰϑός, 8"
ancient,804,2,αἶθος,"xxiii, xl, 8","αἶθος, xxiii, xl, 8","αἶϑος, xxiii, xl, 8"
ancient,804,2,αἶκλοι,9,"αἶκλοι, 9","αἶκλοι, 9"
ancient,804,2,αἴξ,239,"αἴξ, 239","αἴξ, 239"
ancient,804,2,αἰσθάνομαι,45,"αἰσθάνομαι, 45","αἰσϑάνομαι, 45"
ancient,804,2,ἄιστος,"xxxiii, 588","ἄιστος, xxxiii, 588","ἄιστος, xxxiii, | 588"
ancient,804,2,αἶσχος,16,"αἶσχος, 16","αἶσχος, 16"
ancient,804,2,αἰχμή,9,"αἰχμή, 9","αἰχμή, 9"
ancient,804,2,ἁΐω,44,"ἁΐω, 44","diw, 44"
ancient,804,2,αἰών,16,"αἰών, 16","aiwv, 16"
ancient,804,2,ἀκή,5,"ἀκή, 5","ἀκή, 5"
ancient,804,2,ἄκμων,220,"ἄκμων, 220","ἄκμων, 220"
ancient,804,2,ἀκούω,217,"ἀκούω, 217","ἀκούω, 217"
ancient,804,2,ἄκων,5,"ἄκων, 5","ἄκων, 5"
ancient,804,2,ἀλέξω,21,"ἀλέξω, 21","ἀλέξω, 21"
ancient,804,2,ἀλίνειν,324,"ἀλίνειν, 324","ἀλίνειν, 324."
ancient,804,2,ἄλλος,23,"ἄλλος, 23","ἄλλος, 23"
ancient,804,2,ἄλς,425,"ἄλς, 425","ἄλς, 425"
ancient,804,2,ἄμαθος,426,"ἄμαθος, 426","ἄμαϑος, 426"
ancient,804,2,ἁμάω,360,"ἁμάω, 360","ἁμάω, 360"
ancient,804,2,ἀμβλύς,"xxxviii, 67, 69","ἀμβλύς, xxxviii, 67, 69","ἀμβλύς, xxxviii, | 67, 69"
ancient,804,2,ἀμέλγω,364,"ἀμέλγω, 364","ἀμέλγω, 364"
ancient,804,2,ἁμο-,"xx, 491","ἁμο-, xx, 491","ἁμο-, xx, 491"
ancient,804,2,ἀμφί,"xv, xvi, 559","ἀμφί, xv, xvi, 559","ἀμφί, xv, xvi, 55"
ancient,804,2,ἄμφω,46,"ἄμφω, 46","ἄμφω, 46"
ancient,804,2,ἀνά,26,"ἀνά, 26","ἀνά, 26"
ancient,804,2,ἀνακῶς,218,"ἀνακῶς, 218","ἀνακῶς, 218"
ancient,804,2,ἄνευ,118,"ἄνευ, 118","ἄνευ, 118"
ancient,804,2,ἄνθος,27,"ἄνθος, 27","ἄνϑος, 27"
ancient,804,2,ἀντίος,27,"ἀντίος, 27","ἀντίος, 27"
ancient,804,2,ἄντλος,560,"ἄντλος, 560","ἄντλος, 560"
ancient,804,2,ἀξίνη,19,"ἀξίνη, 19","ἀξίνη, 19"
ancient,804,2,ἄξων,6,"ἄξων, 6","ἄξων, 6"
ancient,804,2,ἄπαστος,150,"ἄπαστος, 150","ἄπαστος, 150"
ancient,804,2,ἄπειρος,394,"ἄπειρος, 394","ἄπειρος, 394."
ancient,804,2,ἅπερρος,394,"ἅπερρος, 394","ἅπερρος, 394"
ancient,804,2,ἀπ-έφρυσεν,,"ἀπ-έφρυσεν,","ἀπ-έφρυσεν,"
ancient,804,2,χγχυ,,χγχυ,χγχυ
ancient,804,3,ἀπό,"xvii, 1, 125","ἀπό, xvii, 1, 125","ἀπό, xvii, 1, 125"
ancient,804,3,ἀπο-λαύω,329,"ἀπο-λαύω, 329","ἀπο-λαύω, 329"
ancient,804,3,ἀπόλλυμι,125,"ἀπόλλυμι, 125","ἀπόλλυμι, 125"
ancient,804,3,ἀπ-όνητο,560,"ἀπ-όνητο, 560","ἀπ-όνητο, 560"
ancient,804,3,ἀργός,18,"ἀργός, 18","ἀργός, 18"
ancient,804,3,ἀρήγω,415,"ἀρήγω, 415","ἀρήγω, 415"
ancient,804,3,ἀριθμός,413,"ἀριθμός, 413","ἀριϑμός, 413"
ancient,804,3,ἀρκέω,128,"ἀρκέω, 128","ἀρκέω, 128"
ancient,804,3,ἄρκτος,"21, 54","ἄρκτος, 21, 54","ἄρκτος, 21, 54."
ancient,804,3,ἄροτρον,36,"ἄροτρον, 36","ἄροτρον, 36"
ancient,804,3,ἀρόω,34,"ἀρόω, 34","ἀρόω, 34"
ancient,804,3,ἀρωγή,415,"ἀρωγή, 415","ἀρωγή, 415"
ancient,804,3,ἀσκηθής,441,"ἀσκηθής, 441","ἀσκηϑής, 441"
ancient,804,3,ἀστεμβής,480,"ἀστεμβής, 480","ἀστεμβής, 480"
ancient,804,3,ἀστεμφής,480,"ἀστεμφής, 480","ἀστεμφής, 480"
ancient,804,3,ἀστήρ,"xxxv, 478","ἀστήρ, xxxv, 478","ἀστήρ, χχχν, 478"
ancient,804,3,ἀστραλός,475,"ἀστραλός, 475","ἀστραλός, 475"
ancient,804,3,ἄττα,39,"ἄττα, 39","ἄττα, 39"
ancient,804,3,αὖ,"xxiii, 42","αὖ, xxiii, 42","αὖ, xxiii, 42"
ancient,804,3,αὐδή,319,"αὐδή, 319","αὐδή, 319"
ancient,804,3,αὐλός,42,"αὐλός, 42","αὐλός, 42"
ancient,804,3,αὔξω,566,"αὔξω, 566","αὔξω, 566"
ancient,804,3,αὖος,428,"αὖος, 428","αὖος, 428"
ancient,804,3,αὔσιος,43,"αὔσιος, 43","αὔσιος, 43"
ancient,804,3,αὔω,563,"αὔω, 563","αὔω, 563"
ancient,804,3,ἄφακος,55,"ἄφακος, 55","ἄφακος, 55"
ancient,804,3,ἄχνυμαι,4,"ἄχνυμαι, 4","ἄχνυμαι, 4."
ancient,804,3,ἄχομαι,3,"ἄχομαι, 3","ἄχομαι, 3"
ancient,804,3,ἄχος,4,"ἄχος, 4","ἄχος, 4"
